drugbank_id	actor_id	name	inchi_key
DB00006	128270-60-0	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	53714-56-0	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	145781-92-6	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	65807-02-5	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	16679-58-6	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	16789-98-3	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	62288-83-9	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	62357-86-2	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	6917-99-3	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	120287-85-6	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	130289-71-3	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	145672-81-7	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	103060-53-3	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	55126-45-9	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	59865-13-3	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	79217-60-0	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	56-59-7	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	79517-01-4	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	183552-38-7	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	104018-07-7	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	104625-95-8	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	124051-94-1	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	22816-56-4	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	34317-37-8	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	41468-25-1	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	52064-48-9	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	54-47-7	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	56896-69-6	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	5913-70-2	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	62055-05-4	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	65572-55-6	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	22541-53-3	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	65860-59-5	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
