drugbank_id	drugcentral_id	name	inchi_key
DB00006	385	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	1559	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	1327	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	817	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	583	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	783	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	760	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	4910	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	1980	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	35	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	3506	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00117	1377	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	2414	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00120	2144	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	373	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	3097	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00122	4635	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	1622	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	1549	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	4072	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00128	1550	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	3401	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	1311	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	92	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	4618	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	4127	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	3347	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	2786	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	466	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	4145	Lutein	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	4130	Cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	2487	Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	2834	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00142	1310	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	1312	Glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	1319	Glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	464	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00147	4134	Pyridoxal	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	4661	Creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	1557	Leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	2780	Tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	769	Cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	2832	Thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	2838	Ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00155	3103	Citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	4254	Threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00158	1231	Folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	3174	Icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	4255	Alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	4306	Alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	4128	Valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	2831	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	4280	Vitamin E	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	2836	Pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	4732	Lipoic acid	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00167	4129	Isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00169	2840	Cholecalciferol	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	1683	Menadione	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00171	91	ATP	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00172	4125	Proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	89	Adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	4126	Asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00175	2239	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	1230	Fluvoxamine	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	2806	Valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	2356	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00179	1637	Masoprocol	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00180	1201	Flunisolide	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00181	282	Baclofen	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00182	1562	Amphetamine	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00182	195	Amphetamine	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00182	841	Amphetamine	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00183	2088	Pentagastrin	NEYNJQRKHLUJRU-DZUOILHNSA-N
DB00184	1920	Nicotine	SNICXCGAKADSCV-JTQLQIEISA-N
DB00185	584	Cevimeline	WUTYZMFRCNBCHQ-LHIURRSHSA-N
DB00186	1606	Lorazepam	DIWRORZWFLOCLC-UHFFFAOYSA-N
DB00187	1054	Esmolol	AQNDDEOPVVGCPG-UHFFFAOYSA-N
DB00188	391	Bortezomib	GXJABQQUPOEUTA-RDJZCZTQSA-N
DB00189	1078	Ethchlorvynol	ZEHYJZXQEQOSON-AATRIKPKSA-N
DB00190	496	Carbidopa	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00191	2140	Phentermine	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00192	1434	Indecainide	UCEWGESNIULAGX-UHFFFAOYSA-N
DB00193	2711	Tramadol	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00194	2818	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	90	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	356	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00195	4752	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00196	1187	Fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N
DB00197	2767	Troglitazone	GXPHKUHSUJUWKP-UHFFFAOYSA-N
DB00198	2001	Oseltamivir	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00199	1048	Erythromycin	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00201	463	Caffeine	RYYVLZVUVIJVGH-UHFFFAOYSA-N
DB00202	2489	Succinylcholine	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00203	2441	Sildenafil	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00204	942	Dofetilide	IXTMWRCNAAVVAI-UHFFFAOYSA-N
DB00205	2332	Pyrimethamine	WKSAUQYGYAYLPV-UHFFFAOYSA-N
DB00206	2370	Reserpine	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00207	276	Azithromycin	MQTOSJVFKKJCRP-BICOPXKESA-N
DB00208	2657	Ticlopidine	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00209	2776	Trospium	OYYDSUSKLWTMMQ-JKHIJQBDSA-N
DB00210	87	Adapalene	LZCDAPDGXCYOEH-UHFFFAOYSA-N
DB00211	1803	Midodrine	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00212	4696	Remikiren	UXIGZRQVLGFTOU-VQXQMPIVSA-N
DB00213	2054	Pantoprazole	IQPSEEYGBUAQFF-UHFFFAOYSA-N
DB00214	2708	Torasemide	NGBFQHCMQULJNZ-UHFFFAOYSA-N
DB00215	1053	Citalopram	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	663	Citalopram	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00216	995	Eletriptan	PWVXXGRKLHYWKM-LJQANCHMSA-N
DB00217	359	Bethanidine	NIVZHWNOUVJHKV-UHFFFAOYSA-N
DB00218	1854	Moxifloxacin	FABPRXSRWADJSP-MEDUHNTESA-N
DB00219	2039	Oxyphenonium	GFRUPHOKLBPHTQ-UHFFFAOYSA-N
DB00220	1893	Nelfinavir	QAGYKUNXZHXKMR-HKWSIXNMSA-N
DB00221	1491	Isoetharine	HUYWAWARQUIQLE-UHFFFAOYSA-N
DB00222	1300	Glimepiride	WIGIZIANZCJQQY-RUCARUNLSA-N
DB00223	4548	Diflorasone	WXURHACBFYSXBI-XHIJKXOTSA-N
DB00224	1437	Indinavir	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00226	1339	Guanadrel	HPBNRIOWIXYZFK-UHFFFAOYSA-N
DB00227	1612	Lovastatin	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00228	1009	Enflurane	JPGQOUSTVILISH-UHFFFAOYSA-N
DB00229	548	Cefotiam	QYQDKDWGWDOFFU-IUODEOHRSA-N
DB00230	2255	Pregabalin	AYXYPKUFHZROOJ-ZETCQYMHSA-N
