drugbank_id	dailtmed_new_id	inchi_key
DB00006	BIVALIRUDIN	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	LEUPROLIDE	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPROLIDE ACETATE	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	GOSERELIN	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	GOSERELIN ACETATE	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	DESMOPRESSIN	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	DESMOPRESSIN ACETATE	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	CETRORELIX	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CETRORELIX ACETATE	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	DAPTOMYCIN	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	CYCLOSPORINE	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	OCTREOTIDE	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	OCTREOTIDE ACETATE	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	PYRIDOXAL PHOSPHATE	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00117	HISTIDINE	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00120	PHENYLALANINE	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	BIOTIN	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00123	LYSINE	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	ARGININE	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	ASCORBIC ACID	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00128	ASPARTIC ACID	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	ORNITHINE	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	GLUTAMINE	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	ADENOSINE PHOSPHATE	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00133	SERINE	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	METHIONINE	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	RACEMETHIONINE	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	TYROSINE	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	CALCITRIOL	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00138	CYSTINE	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	SUCCINIC ACID	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	RIBOFLAVIN	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00142	GLUTAMIC ACID	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	GLUTATHIONE	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	GLYCINE	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	CALCIFEDIOL	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00149	LEUCINE	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	TRYPTOPHAN	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	CYSTEINE	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	THIAMINE	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	ERGOCALCIFEROL	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00156	THREONINE	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00158	FOLIC ACID	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	ICOSAPENT	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	ALANINE	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	VALINE	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	RETINOL	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00165	PYRIDOXINE	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00167	ISOLEUCINE	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00168	ASPARTAME	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	CHOLECALCIFEROL	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	MENADIONE	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00171	ADENOSINE TRIPHOSPHATE	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00172	PROLINE	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	ADENINE	GFFGJBXGBJISGV-UHFFFAOYSA-N
